City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,Nhulunbuy,-12.2333,136.7667,86.61,66,20,16.11,AU,2022-09-16 00:50:54
261,Jijiga,9.35,42.8,62.22,82,47,13.65,ET,2022-09-16 00:50:55
262,Juba,4.8517,31.5825,68.11,94,100,1.79,SS,2022-09-16 00:50:55
263,Guangyuan,32.442,105.823,67.68,97,100,0.96,CN,2022-09-16 00:50:55
264,Badvel,14.75,79.05,78.03,76,100,9.98,IN,2022-09-16 00:50:56
265,Jiuquan,39.7432,98.5174,59.25,33,4,4.9,CN,2022-09-16 00:51:56
266,Monrovia,6.3005,-10.7969,75.45,91,100,7.61,LR,2022-09-16 00:51:56
267,Krasnoye,49.9145,24.6134,56.68,97,100,3.38,UA,2022-09-16 00:51:57
268,Havoysund,70.9963,24.6622,46.63,92,100,27.36,NO,2022-09-16 00:51:57
269,Lamar,33.6668,-95.5836,82.31,44,0,9.22,US,2022-09-16 00:51:57
270,Leshan,29.5623,103.7639,70.95,91,97,0.63,CN,2022-09-16 00:51:58
271,Kudat,6.8837,116.8477,80.53,83,20,8.05,MY,2022-09-16 00:51:58
272,Bubaque,11.2833,-15.8333,80.62,85,12,16.44,GW,2022-09-16 00:51:58
273,Lorengau,-2.0226,147.2712,84.67,63,96,12.5,PG,2022-09-16 00:51:59
274,Uglezavodsk,47.3167,142.6167,60.58,54,79,3.69,RU,2022-09-16 00:51:59
275,Teya,60.3778,92.6267,42.26,90,100,3.0,RU,2022-09-16 00:51:59
276,Bandarbeyla,9.4942,50.8122,78.48,71,26,24.09,SO,2022-09-16 00:52:00
277,Aljezur,37.3191,-8.8033,66.07,95,12,3.58,PT,2022-09-16 00:52:00
278,Katangli,51.7102,143.2326,54.64,49,64,9.93,RU,2022-09-16 00:52:00
279,Cantaura,9.3057,-64.3584,77.22,83,70,4.9,VE,2022-09-16 00:52:01
280,Losinyy,57.1386,61.0666,51.55,48,100,9.22,RU,2022-09-16 00:52:01
281,Baiyin,36.5583,104.2081,63.25,66,100,9.53,CN,2022-09-16 00:52:01
282,Naze,28.3667,129.4833,85.12,76,72,19.62,JP,2022-09-16 00:42:43
283,Shakiso,5.75,38.9167,59.13,86,100,3.89,ET,2022-09-16 00:52:02
284,Merrill,45.1805,-89.6835,71.78,82,40,4.61,US,2022-09-16 00:52:02
285,Norman Wells,65.282,-126.8329,51.84,76,75,0.0,CA,2022-09-16 00:52:03
286,Olga,43.7444,135.2892,59.31,84,100,6.22,RU,2022-09-16 00:52:03
287,Palauig,15.435,119.9045,82.78,74,52,5.55,PH,2022-09-16 00:52:04
288,Broome,42.2506,-75.833,55.78,87,0,6.91,US,2022-09-16 00:44:06
289,Emerald,-23.5333,148.1667,79.05,45,5,12.86,AU,2022-09-16 00:52:04
290,Port Lincoln,-34.7333,135.8667,55.87,63,2,27.13,AU,2022-09-16 00:52:04
291,San Rafael,-34.6177,-68.3301,66.25,16,100,18.1,AR,2022-09-16 00:52:05
